Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeBand,OrgIncomeBucket,DeptAvgIncome,RelIncomeRatio,DeptIncomeBucket,Gender_Marital,RoleTenureBand,RecentPromotion,Promo_AgeBand,EducationLevel,EnvSatLevel,CommuteBand,JobHopperBand,MgrTenureBand,Attrition
38,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,3,3,0,6,3,3,3,2,1,2,34-38,1k-5k,6281.252861602497,0.6279002114545968,Below Avg,Male_Single,0-2 yrs,Yes,Yes_34-38,Bachelors,Very High,0-5 km,4-5,0–2 yrs,No
24,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,3,4,1,5,5,2,4,2,1,3,24-28,1k-5k,6281.252861602497,0.6385668732617618,Below Avg,Female_Divorced,0-2 yrs,Yes,Yes_24-28,College,Low,6-11 km,,3–5 yrs,No
36,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,4,2,0,10,4,3,5,3,0,3,34-38,1k-5k,6959.17264573991,0.4895696907427079,Below Avg,Male_Single,3-5 yrs,Yes,Yes_34-38,Masters,High,6-11 km,6+,3–5 yrs,Yes
34,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,3,3,0,13,4,3,12,6,2,11,34-38,11k-15k,6281.252861602497,1.9094916673900697,Above Avg,Female_Single,6-8 yrs,Yes,Yes_34-38,Masters,Low,6-11 km,,10+ yrs,No
21,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,3,4,0,0,6,3,0,0,0,0,18-23,1k-5k,6281.252861602497,0.19613921412577673,Below Avg,Male_Single,,Yes,Yes_18-23,College,High,12-17 km,0-1,0–2 yrs,No
34,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,3,3,0,8,2,3,4,2,1,3,34-38,1k-5k,6281.252861602497,0.47124356640608694,Below Avg,Male_Single,0-2 yrs,Yes,Yes_34-38,Below College,Medium,6-11 km,2-3,3–5 yrs,Yes
53,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,3,4,1,26,3,2,14,13,4,8,49-54,16k-20k,6281.252861602497,3.0398394111344,Above Avg,Female_Divorced,12+ yrs,No,No_49-54,Bachelors,High,0-5 km,4-5,6–10 yrs,No
32,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,4,2,0,10,5,3,10,2,6,7,29-33,1k-5k,6281.252861602497,0.6239201137653563,Below Avg,Female_Single,0-2 yrs,No,No_29-33,Below College,Medium,12-17 km,0-1,6–10 yrs,Yes
42,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,3,4,1,10,2,3,9,7,4,2,39-43,6k-10k,6959.17264573991,0.9807200291514474,Around Avg,Male_Married,6-8 yrs,No,No_39-43,Masters,High,6-11 km,,0–2 yrs,No
44,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,3,4,1,24,4,3,22,6,5,17,44-48,11k-15k,6281.252861602497,1.6315216447735064,Above Avg,Female_Married,6-8 yrs,No,No_44-48,Masters,Low,6-11 km,2-3,10+ yrs,No
46,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,3,4,0,22,2,2,2,2,2,1,44-48,16k-20k,6959.17264573991,2.7225937571183114,Above Avg,Female_Single,0-2 yrs,Yes,Yes_44-48,Masters,Medium,0-5 km,2-3,0–2 yrs,No
33,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,3,4,0,7,3,3,1,1,0,0,29-33,1k-5k,6281.252861602497,0.3973729532937814,Below Avg,Male_Single,0-2 yrs,Yes,Yes_29-33,Bachelors,High,0-5 km,4-5,0–2 yrs,No
44,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,3,4,0,9,5,4,4,2,1,3,44-48,6k-10k,6281.252861602497,1.029253262437619,Around Avg,Male_Married,0-2 yrs,Yes,Yes_44-48,Masters,Very High,6-11 km,2-3,3–5 yrs,No
30,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,3,1,0,10,5,3,10,0,1,8,29-33,1k-5k,6281.252861602497,0.35120382009859047,Below Avg,Male_Single,,Yes,Yes_29-33,College,Very High,6-11 km,0-1,6–10 yrs,No
39,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,3,3,1,19,6,4,1,0,0,0,39-43,1k-5k,6959.17264573991,0.29974827557654493,Below Avg,Male_Married,,Yes,Yes_39-43,Bachelors,Very High,0-5 km,2-3,0–2 yrs,Yes
24,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,3,1,1,6,2,2,2,0,2,0,24-28,1k-5k,6281.252861602497,0.36505456005714776,Below Avg,Male_Married,,Yes,Yes_24-28,Bachelors,Medium,0-5 km,2-3,0–2 yrs,Yes
43,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,3,4,2,6,3,2,5,3,1,4,39-43,1k-5k,6281.252861602497,0.42109433552165537,Below Avg,Female_Divorced,3-5 yrs,Yes,Yes_39-43,College,Very High,0-5 km,0-1,3–5 yrs,No
50,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,3,3,0,3,2,3,3,2,0,2,49-54,1k-5k,6959.17264573991,0.3855343352693529,Below Avg,Male_Married,0-2 yrs,Yes,Yes_49-54,College,Low,0-5 km,0-1,0–2 yrs,Yes
35,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,3,1,0,2,3,3,2,2,2,2,34-38,1k-5k,6959.17264573991,0.2894022181261561,Below Avg,Female_Married,0-2 yrs,Yes,Yes_34-38,Bachelors,Very High,0-5 km,0-1,0–2 yrs,No
36,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,3,4,1,6,3,4,1,1,0,0,34-38,1k-5k,6281.252861602497,0.5443181599805443,Below Avg,Female_Married,0-2 yrs,Yes,Yes_34-38,Masters,Medium,0-5 km,6+,0–2 yrs,No
33,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,No,3,1,2,10,3,3,5,3,1,3,29-33,6k-10k,6959.17264573991,0.7725056229623709,Below Avg,Female_Married,3-5 yrs,Yes,Yes_29-33,Bachelors,High,0-5 km,2-3,3–5 yrs,No
35,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,3,3,1,1,3,3,1,0,0,0,34-38,1k-5k,6281.252861602497,0.31060682366833636,Below Avg,Male_Divorced,,Yes,Yes_34-38,College,High,0-5 km,0-1,0–2 yrs,No
27,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,3,4,1,1,6,3,1,0,0,0,24-28,1k-5k,6281.252861602497,0.3726963476204897,Below Avg,Female_Divorced,,Yes,Yes_24-28,Masters,Very High,0-5 km,0-1,0–2 yrs,No
26,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,3,3,0,1,2,2,1,0,0,1,24-28,1k-5k,6281.252861602497,0.36505456005714776,Below Avg,Male_Single,,Yes,Yes_24-28,Bachelors,Low,18+ km,0-1,0–2 yrs,Yes
27,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,No,3,4,0,9,0,3,9,8,1,7,24-28,6k-10k,6959.17264573991,1.2538846848901877,Above Avg,Male_Single,6-8 yrs,Yes,Yes_24-28,Bachelors,Very High,6-11 km,0-1,6–10 yrs,No
30,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,4,4,0,12,2,3,12,8,3,7,29-33,1k-5k,6281.252861602497,0.6385668732617618,Below Avg,Female_Single,6-8 yrs,No,No_29-33,College,High,0-5 km,0-1,6–10 yrs,No
41,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,3,4,0,23,0,3,22,15,15,8,39-43,16k-20k,6281.252861602497,3.1116403734483002,Above Avg,Female_Married,12+ yrs,No,No_39-43,Bachelors,Medium,12-17 km,0-1,6–10 yrs,Yes
34,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,No,4,3,0,10,2,3,9,5,8,7,34-38,1k-5k,6959.17264573991,0.6563998671302288,Below Avg,Male_Single,3-5 yrs,No,No_34-38,Masters,Medium,18+ km,,6–10 yrs,No
37,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,4,1,0,8,1,3,1,0,0,0,34-38,1k-5k,6281.252861602497,0.4811142086754036,Below Avg,Male_Married,,Yes,Yes_34-38,College,Medium,18+ km,4-5,0–2 yrs,No
46,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,4,3,0,14,4,3,9,6,0,8,44-48,6k-10k,6959.17264573991,0.8294089389395098,Below Avg,Male_Single,6-8 yrs,Yes,Yes_44-48,Masters,Low,0-5 km,4-5,6–10 yrs,No
35,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,3,4,0,1,2,3,1,0,0,1,34-38,1k-5k,6281.252861602497,0.36123366627547676,Below Avg,Male_Married,,Yes,Yes_34-38,Below College,Very High,6-11 km,0-1,0–2 yrs,No
48,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,3,4,0,23,2,3,1,0,0,0,44-48,6k-10k,6281.252861602497,0.8566762266321465,Below Avg,Male_Single,,Yes,Yes_44-48,College,Low,0-5 km,6+,0–2 yrs,Yes
28,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,3,3,0,2,3,2,2,2,2,2,24-28,1k-5k,6281.252861602497,0.547820645947076,Below Avg,Male_Single,0-2 yrs,Yes,Yes_24-28,Masters,High,0-5 km,0-1,0–2 yrs,Yes
44,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,4,3,1,9,2,2,4,3,1,3,44-48,6k-10k,6959.17264573991,0.7837138518669589,Below Avg,Female_Divorced,3-5 yrs,Yes,Yes_44-48,Doctorate,Medium,0-5 km,4-5,3–5 yrs,No
35,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,3,3,1,10,3,3,4,0,2,3,34-38,6k-10k,6281.252861602497,1.5735714224181632,Above Avg,Male_Married,,Yes,Yes_34-38,College,High,6-11 km,2-3,3–5 yrs,No
26,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,3,3,1,5,2,2,2,2,0,0,24-28,1k-5k,6959.17264573991,0.5973411225175922,Below Avg,Female_Married,0-2 yrs,Yes,Yes_24-28,Bachelors,High,18+ km,6+,0–2 yrs,No
33,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,3,3,0,15,1,3,15,14,8,12,29-33,11k-15k,6281.252861602497,2.1425661880719993,Above Avg,Female_Single,12+ yrs,No,No_29-33,College,Low,0-5 km,0-1,10+ yrs,No
35,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,4,4,1,9,3,2,9,8,1,8,34-38,6k-10k,6959.17264573991,1.3031721530219014,Above Avg,Male_Married,6-8 yrs,Yes,Yes_34-38,Doctorate,Medium,18+ km,0-1,6–10 yrs,No
35,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,3,3,1,4,3,3,2,2,2,2,34-38,1k-5k,6281.252861602497,0.6390444849844705,Below Avg,Female_Married,0-2 yrs,Yes,Yes_34-38,Masters,High,18+ km,2-3,0–2 yrs,No
31,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,4,4,1,10,3,2,7,7,1,7,29-33,6k-10k,6281.252861602497,0.9416911132743258,Around Avg,Male_Divorced,6-8 yrs,Yes,Yes_29-33,Masters,Very High,6-11 km,2-3,6–10 yrs,No
37,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,3,3,1,7,2,4,7,5,0,7,34-38,6k-10k,6281.252861602497,0.9541090180647563,Around Avg,Male_Divorced,3-5 yrs,Yes,Yes_34-38,Masters,Low,0-5 km,0-1,6–10 yrs,No
32,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,4,2,1,9,3,3,9,8,7,8,29-33,6k-10k,6281.252861602497,0.9810144784440228,Around Avg,Male_Married,6-8 yrs,No,No_29-33,Bachelors,Low,0-5 km,0-1,6–10 yrs,No
38,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,3,4,0,10,2,3,10,3,9,9,34-38,1k-5k,6281.252861602497,0.38304460161251525,Below Avg,Female_Single,3-5 yrs,No,No_34-38,Doctorate,Very High,18+ km,0-1,6–10 yrs,No
50,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,3,4,1,29,2,2,27,3,13,8,49-54,16k-20k,6281.252861602497,2.983481227854753,Above Avg,Female_Divorced,3-5 yrs,No,No_49-54,College,Medium,6-11 km,4-5,6–10 yrs,No
36,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,3,2,3,17,2,3,17,14,12,8,34-38,11k-15k,6281.252861602497,1.6073226508229235,Above Avg,Female_Divorced,12+ yrs,No,No_34-38,Bachelors,High,6-11 km,0-1,6–10 yrs,No
36,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,3,3,0,6,3,3,6,5,0,3,34-38,6k-10k,6281.252861602497,1.034666195294986,Around Avg,Male_Single,3-5 yrs,Yes,Yes_34-38,Bachelors,Medium,6-11 km,0-1,3–5 yrs,No
45,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,3,3,1,25,2,3,1,0,0,0,44-48,6k-10k,6281.252861602497,1.5480987972070235,Above Avg,Male_Divorced,,Yes,Yes_44-48,Bachelors,Medium,6-11 km,2-3,0–2 yrs,No
35,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,3,4,1,5,2,2,3,2,1,2,34-38,1k-5k,6281.252861602497,0.34929337320775494,Below Avg,Male_Married,0-2 yrs,Yes,Yes_34-38,Bachelors,Medium,0-5 km,4-5,0–2 yrs,No
36,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,3,1,1,2,0,2,1,0,0,0,34-38,1k-5k,6281.252861602497,0.539382838845886,Below Avg,Male_Married,,Yes,Yes_34-38,Bachelors,Very High,6-11 km,,0–2 yrs,Yes
29,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,4,4,1,6,3,3,5,4,0,4,29-33,1k-5k,6281.252861602497,0.4303281621606936,Below Avg,Male_Married,3-5 yrs,Yes,Yes_29-33,Bachelors,High,0-5 km,,3–5 yrs,No
31,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,3,2,0,1,4,3,1,1,1,0,29-33,1k-5k,6281.252861602497,0.3981689728316295,Below Avg,Male_Single,0-2 yrs,Yes,Yes_29-33,Masters,High,0-5 km,0-1,0–2 yrs,No
32,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,3,2,2,10,3,3,10,4,0,9,29-33,6k-10k,6281.252861602497,0.990248305083061,Around Avg,Male_Married,3-5 yrs,Yes,Yes_29-33,Bachelors,Medium,0-5 km,0-1,6–10 yrs,No
36,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,3,2,0,5,3,3,1,0,0,0,34-38,1k-5k,6281.252861602497,0.4836614711965176,Below Avg,Female_Married,,Yes,Yes_34-38,Bachelors,Medium,6-11 km,2-3,0–2 yrs,No
31,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,4,4,0,11,2,3,11,7,1,8,29-33,1k-5k,6281.252861602497,0.7043180870880164,Below Avg,Female_Single,6-8 yrs,Yes,Yes_29-33,Masters,High,6-11 km,0-1,6–10 yrs,No
35,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,No,3,2,0,16,2,3,15,13,2,8,34-38,1k-5k,6959.17264573991,0.6196138850844016,Below Avg,Male_Single,12+ yrs,Yes,Yes_34-38,Masters,High,0-5 km,,6–10 yrs,No
45,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,3,2,0,17,3,4,0,0,0,0,44-48,11k-15k,6281.252861602497,2.1086557557596692,Above Avg,Male_Married,,Yes,Yes_44-48,Masters,Very High,6-11 km,4-5,0–2 yrs,No
37,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,3,1,0,16,3,4,5,2,0,2,34-38,11k-15k,6281.252861602497,2.175362193031342,Above Avg,Male_Single,0-2 yrs,Yes,Yes_34-38,Masters,Low,6-11 km,4-5,0–2 yrs,No
46,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,4,4,1,16,2,3,4,2,0,2,44-48,6k-10k,6654.507936507936,0.7545261119088623,Below Avg,Male_Divorced,0-2 yrs,Yes,Yes_44-48,College,Medium,0-5 km,6+,0–2 yrs,No
30,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,3,3,2,10,1,2,10,8,3,0,29-33,6k-10k,6281.252861602497,0.8160792302018924,Below Avg,Male_Married,6-8 yrs,No,No_29-33,Below College,Very High,0-5 km,0-1,0–2 yrs,No
35,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,3,1,0,6,3,3,6,4,0,4,34-38,1k-5k,6281.252861602497,0.4551639717415549,Below Avg,Male_Single,3-5 yrs,Yes,Yes_34-38,Bachelors,Medium,0-5 km,0-1,3–5 yrs,No
38,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,3,4,3,17,3,3,13,11,1,9,34-38,6k-10k,6281.252861602497,0.8483976234385261,Below Avg,Female_Divorced,9-11 yrs,Yes,Yes_34-38,Bachelors,Medium,6-11 km,6+,6–10 yrs,No
34,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,3,3,0,5,2,3,5,2,1,3,34-38,1k-5k,6281.252861602497,0.6885569002386236,Below Avg,Male_Married,0-2 yrs,Yes,Yes_34-38,College,Low,0-5 km,0-1,3–5 yrs,No
23,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,3,3,1,3,3,3,0,0,0,0,18-23,1k-5k,6959.17264573991,0.3336603527750419,Below Avg,Male_Divorced,,Yes,Yes_18-23,Below College,High,0-5 km,2-3,0–2 yrs,No
51,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,4,2,2,10,4,3,4,2,0,3,49-54,1k-5k,6281.252861602497,0.3303481082069697,Below Avg,Male_Married,0-2 yrs,Yes,Yes_49-54,Masters,Very High,6-11 km,2-3,3–5 yrs,No
30,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,3,1,3,11,3,3,11,10,10,8,29-33,1k-5k,6281.252861602497,0.6610146242290786,Below Avg,Male_Married,9-11 yrs,No,No_29-33,Bachelors,High,0-5 km,0-1,6–10 yrs,No
